178.2	7607	12666.5	14639.5	16043	17142	18041	18751	19286	19599.5	19811	19943	19997	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
184.8	6196	11304	13404	14934	16146	17141	17974	18650	19199	19622	19886	19994	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
191.4	4594.5	9642	11810	13402	14681.5	15748.5	16663.5	17448	18118.5	18681	19120	19438	19656	19816.5	19964.5	20000	20000	20000	20000	20000	20000	20000
198	2993	7980	10216	11870	13217	14356	15353	16246	17038	17740	18354	18882	19312	19633	19929	20000	20000	20000	20000	20000	20000	20000
204.6	1788	6668	8659.5	10145	11407.5	12516.5	13518.5	14448.5	15309.5	16105.5	16841	17520.5	18123.5	18628.5	19250.5	19661	19938.5	20000	20000	20000	20000	20000
211.2	583	5356	7103	8420	9598	10677	11684	12651	13581	14471	15328	16159	16935	17624	18572	19322	19877	20000	20000	20000	20000	20000
217.8	353.5	4479	5954	7038	8016	8929	9801.5	10662.5	11509.5	12359.5	13190	14009	14834.5	15643.5	16802	17821.5	18857	19507	19702.75	19898.5	19949.25	20000
224.4	124	3602	4805	5656	6434	7181	7919	8674	9438	10248	11052	11859	12734	13663	15032	16321	17837	19014	19405.5	19797	19898.5	20000
231	112	3089.5	4123.5	4811.5	5387.5	5912	6425.5	6949	7496	8089.5	8699	9352	10106.5	10949	12274	13621	15435	17145.5	17884.25	18623	19124	19625
237.6	100	2577	3442	3967	4341	4643	4932	5224	5554	5931	6346	6845	7479	8235	9516	10921	13033	15277	16363	17449	18349.5	19250
240.9	105	2431.5	3210.5	3690.5	4007	4229	4412.5	4587.5	4783	5023	5333	5724	6219	6846.5	8013.5	9396.5	11541	13910	15081.5	16253	17311	18369
244.2	110	2286	2979	3414	3673	3815	3893	3951	4012	4115	4320	4603	4959	5458	6511	7872	10049	12543	13800	15057	16272.5	17488
247.5	111	2134	2787.5	3201	3434	3536.5	3554	3527.5	3483	3459.5	3521.5	3656.5	3869.5	4272.5	5172	6429.5	8542.5	10988	12225	13462	14734.75	16007.5
250.8	112	1982	2596	2988	3195	3258	3215	3104	2954	2804	2723	2710	2780	3087	3833	4987	7036	9433	10650	11867	13197	14527
254.1	56	1760	2378	2769	2986.5	3074.5	3054.5	2944	2761.5	2517.5	2241.5	2047.5	2013.5	2183	2759	3759.5	5649	7835	8991.25	10147.5	11426.5	12705.5
257.4	0	1538	2160	2550	2778	2891	2894	2784	2569	2231	1760	1385	1247	1279	1685	2532	4262	6237	7332.5	8428	9656	10884
260.725	0	769	1677.5	2187.5	2544	2771.5	2876.5	2842.5	2668.5	2364	1910	1343	623.5	654	916.5	1567.5	2906.5	4609	5586.5	6564	7706.75	8849.5
264.05	0	0	1195	1825	2310	2652	2859	2901	2768	2497	2060	1301	0	29	148	603	1551	2981	3840.5	4700	5757.5	6815
265.543	0	0	597.5	1589	2177.5	2566.5	2806	2897	2829	2591.5	2092.5	999	0	14.5	74	301.5	775.5	2285.5	3101.5	3917.5	4923	5928.5
267.036	0	0	0	1353	2045	2481	2753	2893	2890	2686	2125	697	0	0	0	0	0	1590	2362.5	3135	4088.5	5042
268.488	0	0	0	676.5	1022.5	1890.5	2331.5	2575.5	2655	2543	2117.5	1008.5	0	0	0	0	0	795	1181.25	1567.5	2630	3692.5
269.94	0	0	0	0	0	1300	1910	2258	2420	2400	2110	1320	0	0	0	0	0	0	0	0	1171.5	2343
271.458	0	0	0	0	0	650	955	1129	1210	1200	1055	660	0	0	0	0	0	0	0	0	585.75	1171.5
272.217	0	0	0	0	0	325	477.5	564.5	605	600	527.5	330	0	0	0	0	0	0	0	0	292.875	585.75
272.976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
